@convomf	O
NGGAKKK	ID
wkwkkwwk	O
cuma	ID
pernah	ID
ngerepost	MIX-ID-EN
postingan	MIX-ID-EN
biasku	ID
SATU	ID
KALIII	ID
DOANGGG	ID
wkwkwkwk	O
oh	ID
sama	ID
bikin	ID
story	EN
lagu	ID
sekali	ID
juga	ID
,	O
jadi	ID
baru	ID
2x	O
di	ID
akun	ID
pertama	ID
,	O
kalo	ID
diakun	ID
kedua	ID
mah	ID
tiap	ID
hari	ID
wkwkkww	O
👍	O

Hobi	ID
belum	ID
tdr	ID
sibuk	ID
ngerepost	MIX-ID-EN
postingan	MIX-ID-EN
wkwkwk	O

Gua	ID
takut	ID
banget	ID
ntar	ID
j	ID
-	O
hope	EN
ngerepost	MIX-ID-EN
1²	O
tuh	ID
postingan	MIX-ID-EN
temen²nya	MIX-ID-EN
,	O
kek	ID
semut	ID
ntar	ID
storynya	MIX-ID-EN
.	O
Blom	ID
lg	ID
bsok	ID
pasti	ID
byk	ID
yg	ID
ngucapin	ID
si	ID
arson	EN
rilis	ID
😭	O

menunggu	ID
hobi	ID
ngerepost	MIX-ID-EN
postingan	MIX-ID-EN
teman2nya	MIX-ID-EN
wkwkk	ID
sama	ID
upload	EN
foto	ID
di	ID
ig	O
:(	O

Anjirr	ID
anjirr🫠	ID
Tapi	ID
terus	ID
Bright	EN
ngerepost	MIX-ID-EN
postingan	MIX-ID-EN
foto	ID
bareng	ID
Win	ID
di	ID
instastory	EN
wqwqwq	EN

/bw	O
bright	EN
tuh	ID
ya	ID
padahal	ID
udah	ID
ngepost	MIX-ID-EN
foto	ID
berdua	ID
,	O
masih	ID
aja	ID
ngerepost	MIX-ID-EN
diigs	MIX-ID-EN
postingan	MIX-ID-EN
metawin	EN
,	O
mau	ID
flexing	EN
ayang	ID
didepan	ID
15M	ID
orang	ID
ya	ID
🙂	O
👍	O
https://t.co/asYnYiVQiG	MIX-ID-EN

bright	EN
ngerepost	MIX-ID-EN
postingan	MIX-ID-EN
win	EN
4	O
menit	ID
setelahnya	MIX-ID-EN
😭	O
😭	O
SUPER	EN
FAST	EN
🤡	O
🤡	O
👍	O
🏼	O
#BurberryTBMonogram	O
#BurberryXBrightWin	O
#ไบร์ทวิน	O

ditambah	ID
dulu	ID
liat	ID
postingan	MIX-ID-EN
@dininatiwi	O
yang	ID
ngerepost	MIX-ID-EN
admin	EN
brand	EN
resminya	MIX-ID-EN
(	O
meski	ID
postingannya	MIX-ID-EN
ngegas	MIX-ID-EN
wkwk	O
)	O
semoga	ID
yang	ID
kena	ID
tipu	ID
dapet	ID
penggantian	ID
,	O
dari	ID
mana	ID
aja	ID
deh	ID
.	O
Misal	ID
penipunya	ID
selicin	ID
itu	ID
,	O
mudah-mudahan	ID
Allah	O
kasi	ID
petunjuk	ID
/	O
pengganti	ID
aamiin	ID
!	O

Aduh	JV
,	O
apa	ID
aku	ID
ngerepost	MIX-ID-EN
postingan	MIX-ID-EN
folkative	EN
aja	ID
yaa	ID
Biar	ID
keliatan	ID
hype	EN
gitu	ID
looo	JV

Sorry	EN
gregetan	ID
aja	ID
ngeliat	ID
ada	ID
orang	ID
yang	ID
actually	EN
ngeliat	ID
postingan	MIX-ID-EN
ginian	ID
DAN	ID
kepikiran	ID
buat	ID
ngerepost	MIX-ID-EN
di	ID
akunnya	ID
sendiri	ID
,	O
like	EN
???	O
Dude	EN
the	EN
amount	EN
of	EN
effort	EN
that	EN
you’re	EN
willing	EN
to	EN
take	EN
just	EN
to	EN
shit	EN
on	EN
this	EN
girl	EN
is	EN
🤯	O
mindblowing	EN

klo	ID
dulu	ID
,	O
maasyaallah	ID
ni	ID
wa	O
sampe	ID
kek	ID
olshop	EN
,	O
rame	ID
pwol	ID
.	O
trs	ID
snap	ID
ig	O
sampe	ID
titik2	ID
krn	ID
ngerepost	MIX-ID-EN
postingan	MIX-ID-EN
dari	ID
tmn2	ID
.	O

ngepost	MIX-ID-EN
foto	ID
bareng	ID
kalian	ID
itu	ID
udah	ID
gw	ID
pikir	JV
mateng2	ID
ya	ID
.	O
ga	ID
direpost	MIX-ID-EN
it’s	EN
okay	EN
awalnya	MIX-ID-EN
ya	ID
mungkin	ID
lu	ID
lagi	ID
ga	ID
mau	ID
storynya	MIX-ID-EN
panjang	ID
.	O
tapi	ID
kok	ID
lu	ID
malah	ID
ngerepost	MIX-ID-EN
postingan	MIX-ID-EN
orang	ID
lain	ID
setelah	ID
gw	ID
?	O
lu	ID
gak	ID
mikirkah	ID
perasaan	ID
gw	ID
?	O
padahal	ID
gw	ID
ngepost	MIX-ID-EN
itu	ID
y	ID
momennya	MIX-ID-EN
bagus	ID
.	O
ajg	ID
lu	ID
y	ID
!	O

akhirnya	ID
update	EN
juga	ID
walaupun	ID
cuma	ID
ngerepost	MIX-ID-EN
postingan	MIX-ID-EN
tentang	ID
idul	ID
adha	ID
😃	O

@pengensantai	O
Kak	ID
kirana	ID
gak	ID
negur	ID
lockey	EN
kok	ID
,	O
dia	ID
meminta	ID
kerjasama	ID
akun2	ID
yg	ID
ngerepost	MIX-ID-EN
dengan	ID
baik	ID
,	O
bukan	ID
negur	ID
kok	ID
,	O
dan	ID
tidak	ID
ada	ID
kta2	ID
Lockey	EN
d	ID
postingan	MIX-ID-EN
ny	ID
kak	ID
Kirana	ID
😊	O

@watcher_daily	O
It	EN
was	EN
her	EN
guest	EN
who	ID
took	JV
the	EN
videos	ID
.	O
Fans	EN
kan	ID
cuma	ID
ngerepost	MIX-ID-EN
.	O
Kalo	ID
ada	ID
akun	ID
yg	ID
post	EN
videonya	MIX-ID-EN
Dita	ID
padahal	ID
mereka	ID
ga	ID
datang	ID
ya	ID
pasti	ID
liatnya	ID
dari	ID
postingan	MIX-ID-EN
tamunya	ID
kan	ID
.	O
Kalo	ID
private	EN
mestinya	MIX-ID-EN
make	EN
it	EN
clear	EN
kalo	ID
tamu	ID
ga	ID
boleh	ID
videoin	ID
dita	ID
.	O
But	EN
then	EN
...	O
ah	ID
sudahlah	ID
😅	O
😆	O
😄	O
❤	O
️	O

@TansuYegen	O
@TheFigen	O
@RexChapman	O
@tyomateee	O
@tyomateee2	O
ini	ID
akun2	ID
yg	ID
aslinya	ID
ga	ID
ada	ID
konten	ID
selain	ID
ngerepost	MIX-ID-EN
postingan	MIX-ID-EN
orang	ID
laen	ID
tapi	ID
bikin	ID
followernya	MIX-ID-EN
buanyak	ID
🤣	O

jadi	ID
story	EN
gue	ID
kehapus	ID
juga	ID
anj	ID
,	O
karna	ID
gue	ID
ngerepost	MIX-ID-EN
foto	ID
itu	ID
dari	ID
postingan	MIX-ID-EN
nya	ID
dia	ID
,	O
keseell	ID
ah	ID
elah	ID
padahal	ID
udh	ID
diliat	ID
yeobin	ID
🙂	O

baru	ID
melihat	ID
postingan	MIX-ID-EN
seorang	ID
cewe	ID
yang	ID
ngerepost	MIX-ID-EN
instastory	EN
mantan	ID
nya	ID
.	O
instastory	EN
nya	ID
itu	ID
ya	ID
